time,x,y,z
1.75689e+09,-0.396484,-0.942038,0
1.75689e+09,-0.377284,-0.954437,0
1.75689e+09,-0.334291,-0.954345,0
1.75689e+09,-0.322771,-0.944272,0
1.75689e+09,-0.285496,-0.976443,0
1.75689e+09,-0.272613,-0.977502,0
1.75689e+09,-0.238531,-0.970042,0
1.75689e+09,-0.197723,-0.98926,0
1.75689e+09,-0.171435,-0.994082,0
1.75689e+09,-0.138021,-1.00405,0
1.75689e+09,-0.142631,-1.04318,0
1.75689e+09,-0.12443,-1.01612,0
1.75689e+09,-0.0872971,-1.01821,0
1.75689e+09,-0.140992,-1.02396,0
